,index,thinker_1,thinker_2,link
0,25830,Barnett Newman,Robert Ryman,1
1,6536,Rainer Maria Rilke,Jim Starlin,0
2,6223,John Steinbeck,Ed Vega,1
3,533,Herbert Spencer,Augusto dos Anjos,1
4,21051,Kostas Axelos,Ivan Illich,0
5,11803,Ayn Rand,Murray Rothbard,1
6,12169,Mir Babar Ali Anis,Zameer Naqvi,1
7,790,African Spir,Steven Erikson,0
8,9563,Plato,Frederick Reines,0
9,8383,Fernando Pessoa,Vladimir Besleaga,0
10,7863,Hideo Kobayashi,Nagai Tatsuo,1
11,24985,Pierre-Joseph Proudhon,Jack McDevitt,0
12,8483,Ismail Kadare,Gjekë Marinaj,1
13,1359,George Herbert Mead,Herbert Blumer,1
14,21845,Edmund Burke,Matthew Arnold,1
15,28020,Simone Weil,Trenton Doyle Hancock,0
16,15466,Bram Stoker,Beyazit Öztürk,0
17,5366,Michel de Montaigne,George Campbel,0
18,7533,Samuel Beckett,Francisco Santos,0
19,3027,Ahmad Sirhindi,Abdulhakim Arvasi,1
20,10209,Nicholas of Cusa,Christine Ladd-Franklin,0
21,8877,Stanley William Hayter,Lois McMaster Bujold,0
22,27261,Zeno of Citium,Mario Puzo,0
23,28837,Eric Berne,Terry Goodkind,0
24,19212,Jens Peter Jacobsen,Charles Perrault,0
25,15934,Baruch Spinoza,Jan Evangelista Purkyne,0
26,9198,Arthur Rimbaud,Jacky Cheung,0
27,21086,Gustave Flaubert,Émile Zola,1
28,16954,Jack London,Su Rui,0
29,7308,Lucian,John Warnock,0
30,11287,Chevy Chase,Will Ferrell,1
31,10934,Georg Wilhelm Friedrich Hegel,Jacques Lacan,1
32,17145,Paul D. MacLean,Richard Cytowic,1
33,2046,Henri Matisse,Jacques Pellegri,1
34,16202,Edward Bunker,James Ellroy,1
35,11546,Edmund Spenser,Don Novello,0
36,20225,Sextus Empiricus,Wislawa Szymborska,0
37,16245,Georg Wilhelm Friedrich Hegel,Susan Elizabeth Phillips,0
38,20872,Terence McKenna,Christine Ladd-Franklin,0
39,25089,Sam Kinison,H. R. Giger,0
40,22441,Immanuel Kant,Stephen Dedman,0
41,14268,Charles Alston,Mary Midgley,0
42,20960,D. H. Lawrence,Joyce Carol Oates,1
43,10783,Charlotte Brontë,Ludwig Börne,0
44,7647,Arthur Schopenhauer,Ludwig Wittgenstein,1
45,4506,Lenny Bruce,Cork Graham,0
46,1431,William Faulkner,Robert Flyn,1
47,9233,M. R. James,John Dickson Carr,1
48,19001,V. S. Naipaul,Paul Theroux,1
49,23444,Ernst Wilhelm von Brücke,Sigmund Freud,1
50,10095,Owen Barfield,Karl Weierstrass,0
51,23257,Noam Chomsky,Robert Fisk,1
52,1075,Ambrose Bierce,Aisling Judge,0
53,25425,George Gurdjieff,Morris Halle,0
54,21225,Franz Unger,Desiderius Erasmus,0
55,3959,Harold Lloyd,Edwin Thompson Jaynes,0
56,9503,Steven Wright,Jimmy Carr,1
57,10969,Johann Wolfgang von Goethe,Raymond Kennedy,0
58,21711,Jorge Luis Borges,Paul Merton,0
59,10286,Baruch Spinoza,Laurindo Rabelo,0
60,14791,William Faulkner,Jan Balabán,1
61,1433,Henri Rousseau,Jules Bastien-Lepage,0
62,21755,Henri Rousseau,Missy Elliott,0
63,10719,Rudyard Kipling,Shmuel Yosef Agnon,0
64,24260,Søren Kierkegaard,Martin Buber,1
65,4386,John Locke,Dionysios Solomos,0
66,26185,Johann Wolfgang von Goethe,Karel Appel,0
67,13602,Jorge Luis Borges,Dmitry Glukhovsky,1
68,22536,Charlotte Brontë,Yitzhak Shamir,0
69,21558,Knut Hamsun,Gabriel Scott,1
70,28095,Franco Basaglia,Michel Foucault,1
71,19161,Michael Davi,Morris Halle,0
72,5263,Pythagoras,Richard Dawkins,0
73,23755,Immanuel Kant,Simon Critchley,1
74,5335,Stephen King,Max Planck,0
75,21652,Ennio Flaiano,Federico Fellini,1
76,9773,Ralph Waldo Emerson,William Dean Howells,1
77,18085,Edmund Husserl,Ramón Xirau,1
78,9342,Karl Marx,Gerald Cohen,1
79,2432,Duns Scotus,Patrick Crowley,0
80,16371,William Carlos Williams,Raymond Carver,1
81,17398,Abbie Hoffman,Julian Rotter,0
82,20837,Ibn Khaldun,Taha Hussein,1
83,21442,Arda Denkel,Ted Honderich,1
84,3173,Maurice Maeterlinck,France Bevk,1
85,27478,Otto Weininger,John Shannon,0
86,26952,J. G. Ballard,Will Self,1
87,1127,Günter Grass,C. S. Forester,0
88,3427,Charles A. Doswell III,Eric Nguyen,1
89,22046,Robert Crais,Peter David,1
90,9400,Ennio Flaiano,William Wyler,0
91,17113,Irwin Corey,Thomas Arnold,0
92,70,Jorge Luis Borges,Michel Foucault,1
93,14907,Nicolas Malebranche,Michelle Belanger,0
94,19856,Daphne du Maurier,Lucretius,0
95,9688,Anton Chekhov,Hans Kelsen,0
96,3066,Johannes Scotus Eriugena,Emanuel Vidovic,0
97,8132,Desiderius Erasmus,Henrik Wergeland,0
98,18113,Anton Chekhov,Raymond Carver,1
99,26209,Charles O'Cono,John O'Donovan,1
100,6263,Epicurus,John Lennon,0
101,2966,Louis-Ferdinand Céline,Anthony Swofford,1
102,23743,Marcel Proust,Simon Vestdijk,1
103,13183,Heraclitus,Aenesidemus,1
104,17426,David Markson,Adrien Loir,0
105,8548,Paul Goodman,Bob Black,1
106,14749,Tristan Tzara,André Breton,1
107,14629,Kathleen E. Woodiwiss,Virginia Henley,1
108,27776,Benjamin Fondane,Nichita Stanescu,1
109,7726,Dominick Dunne,Lori Bryant-Woolridge,1
110,26955,Adalbert Stifter,George Berkeley,0
111,22827,Joseph Butler    1,William P. Young,0
112,13262,Arnold Böcklin,Edvard Munch,1
113,16505,Robert B. Parker,Ibn al-Baitar,0
114,985,G. K. Chesterton,Carolyn Kreiter-Foronda,0
115,18095,Leo Strauss,George Grant,1
116,1790,Adam Mickiewicz,Comte de Lautréamont,1
117,3451,Samuel Beckett,Alain Badiou,1
118,1780,Julia Kristeva,Miko uvakovic,1
119,27885,Oscar Wilde,Sax Rohmer,0
120,10996,Rudyard Kipling,Jules Tannery,0
121,3982,John Irving,Scott Gummer,1
122,28401,Lloyd Alexander,Yazmany Arboleda,0
123,10279,Anton Chekhov,Selman Waksman,0
124,19445,Arda Denkel,Colin McGinn,1
125,6683,Zeno of Citium,John P. Yount,0
